,id,caused_delay_time,replication,scenario,number_of_vehicles
0,2115,13536.307335837088,1,4,618.0
0,2694,13494.385164362175,1,4,618.0
0,244,13478.1950701671,1,4,618.0
0,2205,13493.770092720453,1,4,618.0
0,2589,13478.42380239037,1,4,618.0
0,1572,13478.340771884521,1,4,618.0
0,1594,13554.262695139485,1,4,618.0
0,590,13493.113406454064,1,4,618.0
0,2428,13477.974022637443,1,4,618.0
0,1489,13556.75680203344,1,4,618.0
0,3097,13478.710273734732,1,4,618.0
0,45,13478.709185646143,1,4,618.0
0,2444,13489.533325370074,1,4,618.0
0,521,13478.108361599887,1,4,618.0
0,2754,13478.574986942238,1,4,618.0
0,1727,13478.22102516568,1,4,618.0
0,142,13523.975786879433,1,4,618.0
0,525,13550.614213128521,1,4,618.0
0,2700,13478.137293899601,1,4,618.0
0,2940,13557.285399912478,1,4,618.0
0,1330,13478.266613516093,1,4,618.0
0,1737,13478.724583118017,1,4,618.0
0,2466,13555.42990854698,1,4,618.0
0,2714,13492.631206382717,1,4,618.0
0,3133,13478.017975259945,1,4,618.0
0,618,13478.764256703782,1,4,618.0
0,2317,13477.24420392,1,4,618.0
0,2659,13492.494616264665,1,4,618.0
0,1352,13478.388189023548,1,4,618.0
0,628,13531.0266096146,1,4,618.0
0,2029,13495.721145911617,1,4,618.0
0,306,13477.99920159109,1,4,618.0
0,1825,13478.44199370633,1,4,618.0
0,1378,13544.93500742664,1,4,618.0
0,314,13525.358623001266,1,4,618.0
0,1833,13379.955794023334,1,4,616.0
0,99,13431.941370688646,1,4,613.0
0,1857,13359.604616605524,1,4,610.0
0,144,13208.204710573778,1,4,602.0
0,2055,13221.145100136684,1,4,602.0
0,2135,13255.357450866844,1,4,601.0
0,2061,12902.122287475944,1,4,592.0
0,632,12791.539857336687,1,4,587.0
0,2085,12807.050734407694,1,4,586.0
0,535,12787.73705989122,1,4,585.0
0,656,12601.575524820246,1,4,577.0
0,214,12565.838095977222,1,4,577.0
0,368,12444.947362758874,1,4,574.0
0,2472,12443.904849541113,1,4,574.0
0,555,12323.558145511355,1,4,570.0
0,1509,12368.67103334237,1,4,570.0
0,1644,12245.697955079531,1,4,568.0
0,2962,12245.324435756807,1,4,568.0
0,1382,12291.691576264475,1,4,563.0
0,2970,12224.07799932252,1,4,563.0
0,374,12071.231849496058,1,4,560.0
0,234,11991.344114451858,1,4,559.0
0,2508,12002.50023282528,1,4,559.0
0,2990,12020.168988949554,1,4,559.0
0,388,11869.738541989562,1,4,550.0
0,2528,11858.497237319403,1,4,550.0
0,2175,11784.532710850764,1,4,547.0
0,2534,11745.718561297595,1,4,545.0
0,2177,11760.896904491156,1,4,544.0
0,394,11365.667411979906,1,4,534.0
0,2546,11321.401335026318,1,4,530.0
0,434,10884.751799304142,1,4,512.0
0,3028,10884.275508488467,1,4,512.0
0,1533,10618.33839522883,1,4,499.0
0,714,10590.081609424873,1,4,498.0
0,1557,10410.727448898986,1,4,490.0
0,470,10418.335979241176,1,4,489.0
0,3054,10389.660698495862,1,4,487.0
0,3058,10322.105807721171,1,4,482.0
0,2554,10044.655535555245,1,4,475.0
0,758,10014.338237774497,1,4,470.0
0,768,9477.124488533735,1,4,445.0
0,774,8283.03656122796,1,4,391.0
0,780,7910.381720732294,1,4,381.0
0,854,7630.913447680047,1,4,360.0
0,876,5763.386768625054,1,4,278.0
0,884,5506.427122016478,1,4,258.0
0,924,2607.1409667774906,1,4,129.0
0,952,674.8352843565619,1,4,35.0
