id,caused_delay_time,replication,scenario,number_of_vehicles
408,4269.263643273363,6,8,1985.0
412,4283.695960537956,6,8,1983.0
3020,1711.1973412155749,6,8,798.0
722,1347.0824384578837,6,8,635.0
2558,23076.862106706016,6,8,1544.0
742,1358.4060199522578,6,8,635.0
432,4277.677029576119,6,8,1977.0
760,1372.6415456173195,6,8,635.0
438,73796.88123826441,6,8,1974.0
2041,47367.142338881815,6,8,3169.0
772,9614.040094703636,6,8,635.0
2576,104461.94812870266,6,8,1537.0
1771,480.0826586365084,6,8,225.0
774,1369.4573627060115,6,8,634.0
2069,118445.30667707747,6,8,3155.0
1777,14534.105161589072,6,8,225.0
780,1364.1126749320356,6,8,634.0
806,9497.308519394135,6,8,634.0
458,4230.489613428435,6,8,1959.0
464,132592.96996877674,6,8,1958.0
810,23676.92136902438,6,8,632.0
2111,118086.54309176157,6,8,3136.0
1779,481.2713099870041,6,8,221.0
1801,14991.935074557518,6,8,221.0
476,130869.23042220176,6,8,1938.0
838,9421.769887232318,6,8,631.0
844,9516.249389998518,6,8,630.0
868,23609.56518344022,6,8,627.0
1825,465.62894851739,6,8,221.0
1833,486.6437315639064,6,8,221.0
1837,468.10796934144855,6,8,220.0
1853,477.32624607865495,6,8,220.0
1861,475.49473659750146,6,8,220.0
1869,480.598448476215,6,8,220.0
872,42290.910950972575,6,8,626.0
1895,478.32469556730695,6,8,220.0
880,23153.63902595011,6,8,620.0
902,9243.652962540087,6,8,617.0
904,41836.38539640446,6,8,615.0
924,22810.289352158194,6,8,606.0
938,40919.68740242327,6,8,603.0
962,22776.10302718494,6,8,601.0
964,9043.61268539051,6,8,597.0
980,8911.615664989944,6,8,591.0
982,22134.9940360803,6,8,588.0
1000,21867.918985554672,6,8,585.0
1006,1248.9464758803979,6,8,582.0
1008,21572.213936473705,6,8,582.0
1026,8784.532017041418,6,8,580.0
1030,8750.302862410663,6,8,576.0
1088,8573.21450358258,6,8,574.0
1090,21066.82303413621,6,8,572.0
1092,8424.754776570342,6,8,569.0
1132,1203.4181741635778,6,8,568.0
1184,22073.256907828458,6,8,568.0
1208,37794.64824416767,6,8,555.0
