Road,Name,startLRP,startOffset,startChainage,endLRP,,endOffset,endChainage,(Km),HeavyTruck,MediumTruck,SmallTruck,LargeBus,MediumBus,MicroBus,Utility,Car,AutoRickshaw,MotorCycle,Bi-Cycle,CycleRickshaw,Cart,TotalMotorized,TotalNonMotorized,TotalAADT
N1-67,UkhiaDakbangloZ1503-GundumZ1504,LRP413,300,408.434,LRP420,616,900,416.044,7.61,24,455,137,129,200,568,131,142,2476,419,97,1042,0,4681,1139,5820
N1-68,GundumGundumZ1504-WhykongZ1133,LRP420,900,416.044,LRP433,616,521,428.908,12.864,24,455,137,129,200,568,131,142,2476,419,97,1042,0,4681,1139,5820
N1-69,WhykongZ1133-Teknaf,LRP433,521,428.908,LRP467,616,130,462.254,33.346,24,455,137,129,200,568,131,142,2476,419,97,1042,0,4681,1139,5820
N2-1,Katchpur-Tarabo(IntwithR201),LRPS,0,0,LRP002,6710,1147,2.313,2.313,239,4475,1996,3707,794,3417,446,3024,4643,567,409,942,0,23308,1351,24659
N2-2,Tarabo(IntwithR201)-Barpa(Int.withZ1090LGEDRoad),LRP002,1147,2.313,LRP006,6815,900,6.076,3.763,227,4684,1904,1466,1026,1513,637,1458,3517,813,190,522,0,17245,712,17957
N2-3,Barpa(Int.withZ1090LGEDRoad)-Bhulta(Int.withR202),LRP006,900,6.076,LRP011,6556,915,11.111,5.035,237,4415,1904,1451,1018,1422,659,1473,4094,1075,393,3205,0,17748,3598,21346
N2-4,Bhulta(Int.withR202)-Bhulta(Int.withR203),LRP011,915,11.111,LRP011,6556,1781,11.977,0.866,237,4415,1904,1451,1018,1422,659,1473,4094,1075,393,3205,0,17748,3598,21346
N2-5,Bhulta(Int.withR203)-Panchdona(Int.withR301),LRP011,1781,11.977,LRP030,2717,999,30.225,18.248,244,1432,1041,961,1220,1068,152,1098,3128,899,218,1142,0,11243,1360,12603
N2-6,Panchdona-Shahepratap(Int.withR210),LRP030,999,30.225,LRP033,2789,1280,33.536,3.311,70,1743,976,2192,437,1319,84,1392,2708,1305,304,651,0,12226,955,13181
N2-7,Shahepratap(Int.withR210)-Itakhola(Int.withR211),LRP033,1280,33.536,LRP042,2789,1831,43.097,9.561,70,1743,976,2192,437,1319,84,1392,2708,1305,304,651,0,12226,955,13181
