,id,drive_time,exp,sce
362,Truck4682,215,2,2
363,Truck4683,215,2,2
364,Truck4684,215,2,2
365,Truck4685,215,2,2
366,Truck4686,215,2,2
367,Truck4687,215,2,2
368,Truck4688,215,2,2
369,Truck4689,215,2,2
370,Truck4690,215,2,2
371,Truck4691,215,2,2
372,Truck4692,215,2,2
373,Truck4693,215,2,2
374,Truck4694,215,2,2
375,Truck4695,215,2,2
376,Truck4696,215,2,2
377,Truck4697,215,2,2
378,Truck4698,215,2,2
379,Truck4699,215,2,2
380,Truck4700,215,2,2
381,Truck4701,215,2,2
382,Truck4702,215,2,2
383,Truck4703,215,2,2
384,Truck4704,215,2,2
385,Truck4705,215,2,2
386,Truck4706,215,2,2
387,Truck4707,215,2,2
388,Truck4708,215,2,2
389,Truck4709,215,2,2
390,Truck4710,215,2,2
391,Truck4711,215,2,2
392,Truck4712,215,2,2
393,Truck4713,215,2,2
394,Truck4714,215,2,2
395,Truck4715,215,2,2
396,Truck4716,215,2,2
397,Truck4717,215,2,2
398,Truck4718,215,2,2
399,Truck4719,215,2,2
400,Truck4720,215,2,2
401,Truck4721,215,2,2
402,Truck4722,215,2,2
403,Truck4723,215,2,2
404,Truck4724,215,2,2
405,Truck4725,215,2,2
406,Truck4726,215,2,2
407,Truck4727,215,2,2
408,Truck4728,215,2,2
409,Truck4729,215,2,2
410,Truck4730,215,2,2
411,Truck4731,215,2,2
412,Truck4732,215,2,2
413,Truck4733,215,2,2
414,Truck4734,215,2,2
415,Truck4735,215,2,2
416,Truck4736,215,2,2
417,Truck4737,215,2,2
418,Truck4738,215,2,2
419,Truck4739,215,2,2
420,Truck4740,215,2,2
421,Truck4741,215,2,2
422,Truck4742,215,2,2
423,Truck4743,215,2,2
424,Truck4744,215,2,2
425,Truck4745,215,2,2
426,Truck4746,215,2,2
427,Truck4747,215,2,2
428,Truck4748,215,2,2
429,Truck4749,215,2,2
430,Truck4750,215,2,2
431,Truck4751,215,2,2
432,Truck4752,215,2,2
433,Truck4753,215,2,2
434,Truck4754,215,2,2
435,Truck4755,215,2,2
436,Truck4756,215,2,2
437,Truck4757,215,2,2
438,Truck4758,215,2,2
439,Truck4759,215,2,2
440,Truck4760,215,2,2
441,Truck4761,215,2,2
442,Truck4762,215,2,2
443,Truck4763,215,2,2
444,Truck4764,215,2,2
445,Truck4765,215,2,2
446,Truck4766,215,2,2
447,Truck4767,215,2,2
448,Truck4768,215,2,2
449,Truck4769,215,2,2
450,Truck4770,215,2,2
451,Truck4771,215,2,2
452,Truck4772,215,2,2
453,Truck4773,215,2,2
454,Truck4774,215,2,2
455,Truck4775,215,2,2
456,Truck4776,215,2,2
457,Truck4777,215,2,2
458,Truck4778,215,2,2
459,Truck4779,215,2,2
460,Truck4780,215,2,2
461,Truck4781,215,2,2
462,Truck4782,215,2,2
463,Truck4783,215,2,2
464,Truck4784,215,2,2
465,Truck4785,215,2,2
466,Truck4786,215,2,2
467,Truck4787,215,2,2
468,Truck4788,215,2,2
469,Truck4789,215,2,2
470,Truck4790,215,2,2
471,Truck4791,215,2,2
472,Truck4792,215,2,2
473,Truck4793,215,2,2
474,Truck4794,215,2,2
475,Truck4795,215,2,2
476,Truck4796,215,2,2
477,Truck4797,215,2,2
478,Truck4798,215,2,2
479,Truck4799,215,2,2
480,Truck4800,215,2,2
481,Truck4801,215,2,2
482,Truck4802,215,2,2
483,Truck4803,215,2,2
484,Truck4804,215,2,2
485,Truck4805,215,2,2
486,Truck4806,215,2,2
487,Truck4807,215,2,2
488,Truck4808,215,2,2
489,Truck4809,215,2,2
490,Truck4810,215,2,2
491,Truck4811,215,2,2
492,Truck4812,215,2,2
493,Truck4813,215,2,2
494,Truck4814,215,2,2
495,Truck4815,215,2,2
496,Truck4816,215,2,2
497,Truck4817,215,2,2
498,Truck4818,215,2,2
499,Truck4819,215,2,2
500,Truck4820,215,2,2
501,Truck4821,215,2,2
502,Truck4822,215,2,2
503,Truck4823,215,2,2
504,Truck4824,215,2,2
505,Truck4825,215,2,2
506,Truck4826,215,2,2
507,Truck4827,215,2,2
508,Truck4828,215,2,2
509,Truck4829,215,2,2
510,Truck4830,215,2,2
511,Truck4831,215,2,2
512,Truck4832,215,2,2
513,Truck4833,215,2,2
514,Truck4834,215,2,2
515,Truck4835,215,2,2
516,Truck4836,215,2,2
517,Truck4837,215,2,2
518,Truck4838,215,2,2
519,Truck4839,215,2,2
520,Truck4840,215,2,2
521,Truck4841,215,2,2
522,Truck4842,215,2,2
523,Truck4843,215,2,2
524,Truck4844,215,2,2
525,Truck4845,215,2,2
526,Truck4846,215,2,2
527,Truck4847,215,2,2
528,Truck4848,215,2,2
529,Truck4849,215,2,2
530,Truck4850,215,2,2
531,Truck4851,215,2,2
532,Truck4852,215,2,2
533,Truck4853,215,2,2
534,Truck4854,215,2,2
535,Truck4855,215,2,2
536,Truck4856,215,2,2
537,Truck4857,215,2,2
538,Truck4858,215,2,2
539,Truck4859,215,2,2
540,Truck4860,215,2,2
541,Truck4861,215,2,2
542,Truck4862,215,2,2
543,Truck4863,215,2,2
544,Truck4864,215,2,2
545,Truck4865,215,2,2
546,Truck4866,215,2,2
547,Truck4867,215,2,2
548,Truck4868,215,2,2
549,Truck4869,215,2,2
550,Truck4870,215,2,2
551,Truck4871,215,2,2
552,Truck4872,215,2,2
553,Truck4873,215,2,2
554,Truck4874,215,2,2
555,Truck4875,215,2,2
556,Truck4876,215,2,2
557,Truck4877,215,2,2
558,Truck4878,215,2,2
559,Truck4879,215,2,2
560,Truck4880,215,2,2
561,Truck4881,215,2,2
562,Truck4882,215,2,2
563,Truck4883,215,2,2
564,Truck4884,215,2,2
565,Truck4885,215,2,2
566,Truck4886,215,2,2
