index,id,drive_time,replication,scenario
11616,Truck11961,237,1,4
11617,Truck11965,232,1,4
11618,Truck11963,244,1,4
11619,Truck11960,273,1,4
11620,Truck11962,268,1,4
11621,Truck11966,255,1,4
11622,Truck11968,246,1,4
11623,Truck11964,269,1,4
11624,Truck11969,244,1,4
11625,Truck11971,234,1,4
11626,Truck11967,260,1,4
11627,Truck11973,238,1,4
11628,Truck11972,244,1,4
11629,Truck11976,231,1,4
11630,Truck11974,246,1,4
11631,Truck11975,241,1,4
11632,Truck11970,274,1,4
11633,Truck11979,233,1,4
11634,Truck11977,247,1,4
11635,Truck11982,234,1,4
11636,Truck11978,255,1,4
11637,Truck11984,233,1,4
11638,Truck11980,273,1,4
11639,Truck11981,268,1,4
11640,Truck11989,233,1,4
11641,Truck11988,242,1,4
11642,Truck11983,268,1,4
11643,Truck11990,237,1,4
11644,Truck11991,232,1,4
11645,Truck11985,266,1,4
11646,Truck11986,261,1,4
11647,Truck11987,263,1,4
11648,Truck11993,233,1,4
11649,Truck11994,240,1,4
11650,Truck11992,267,1,4
11651,Truck12000,234,1,4
11652,Truck11995,261,1,4
11653,Truck11998,247,1,4
11654,Truck11997,258,1,4
11655,Truck11996,266,1,4
11656,Truck12001,249,1,4
11657,Truck11999,272,1,4
11658,Truck12002,263,1,4
11659,Truck12005,257,1,4
11660,Truck12004,269,1,4
11661,Truck12003,275,1,4
11662,Truck12006,271,1,4
11663,Truck12013,237,1,4
11664,Truck12007,273,1,4
11665,Truck12008,269,1,4
11666,Truck12011,254,1,4
11667,Truck12009,269,1,4
11668,Truck12010,272,1,4
11669,Truck12019,231,1,4
11670,Truck12012,267,1,4
11671,Truck12014,267,1,4
11672,Truck12017,262,1,4
11673,Truck12016,269,1,4
11674,Truck12018,259,1,4
11675,Truck12015,275,1,4
11676,Truck12021,249,1,4
11677,Truck12020,260,1,4
11678,Truck12024,250,1,4
11679,Truck12027,236,1,4
11680,Truck12028,237,1,4
11681,Truck12022,273,1,4
11682,Truck12023,273,1,4
11683,Truck12026,260,1,4
11684,Truck12029,245,1,4
11685,Truck12030,246,1,4
11686,Truck12025,274,1,4
11687,Truck12034,232,1,4
11688,Truck12032,261,1,4
11689,Truck12031,267,1,4
11690,Truck12036,246,1,4
11691,Truck12035,255,1,4
11692,Truck12033,274,1,4
11693,Truck12037,260,1,4
11694,Truck12039,259,1,4
11695,Truck12045,233,1,4
11696,Truck12042,249,1,4
11697,Truck12040,260,1,4
11698,Truck12038,272,1,4
11699,Truck12043,251,1,4
11700,Truck12041,274,1,4
11701,Truck12046,253,1,4
11702,Truck12044,270,1,4
11703,Truck12049,256,1,4
11704,Truck12047,271,1,4
11705,Truck12052,248,1,4
11706,Truck12048,269,1,4
11707,Truck12053,250,1,4
11708,Truck12051,264,1,4
11709,Truck12050,273,1,4
11710,Truck12057,241,1,4
11711,Truck12054,258,1,4
11712,Truck12055,261,1,4
11713,Truck12058,257,1,4
11714,Truck12056,272,1,4
11715,Truck12060,252,1,4
11716,Truck12059,259,1,4
11717,Truck12066,236,1,4
11718,Truck12065,243,1,4
11719,Truck12062,262,1,4
11720,Truck12064,259,1,4
11721,Truck12061,275,1,4
11722,Truck12063,274,1,4
11723,Truck12069,247,1,4
11724,Truck12067,265,1,4
11725,Truck12068,261,1,4
11726,Truck12070,256,1,4
11727,Truck12071,251,1,4
11728,Truck12074,236,1,4
11729,Truck12072,260,1,4
11730,Truck12077,241,1,4
11731,Truck12073,266,1,4
11732,Truck12080,237,1,4
11733,Truck12075,264,1,4
11734,Truck12078,249,1,4
11735,Truck12076,260,1,4
11736,Truck12082,240,1,4
11737,Truck12083,248,1,4
11738,Truck12079,269,1,4
11739,Truck12081,260,1,4
11740,Truck12087,234,1,4
11741,Truck12084,261,1,4
11742,Truck12089,244,1,4
11743,Truck12090,243,1,4
11744,Truck12091,239,1,4
11745,Truck12085,273,1,4
11746,Truck12086,273,1,4
11747,Truck12088,271,1,4
11748,Truck12094,246,1,4
11749,Truck12097,235,1,4
11750,Truck12092,262,1,4
11751,Truck12099,231,1,4
11752,Truck12095,254,1,4
11753,Truck12093,265,1,4
11754,Truck12100,231,1,4
11755,Truck12102,233,1,4
11756,Truck12098,258,1,4
11757,Truck12096,271,1,4
11758,Truck12104,234,1,4
11759,Truck12101,253,1,4
